csv_line,target,reported,candidate_formula,matches_candidate_formula
1713,alkalinity,55.0,55.0,True
1714,alkalinity,85.0,85.0,True
1715,alkalinity,100.0,100.0,True
1716,alkalinity,60.0,60.0,True
1717,alkalinity,95.0,95.0,True
1718,alkalinity,70.0,70.0,True
1719,alkalinity,110.0,110.0,True
1720,alkalinity,75.0,75.0,True
1721,alkalinity,110.0,110.0,True
1722,alkalinity,95.0,95.0,True
1723,alkalinity,80.0,80.0,True
1724,alkalinity,105.0,105.0,True
1725,alkalinity,45.0,45.0,True
1768,alkalinity,95.0,95.0,True
1770,alkalinity,45.0,45.0,True
1801,alkalinity,70.0,70.0,True
1804,alkalinity,110.0,110.0,True
1805,alkalinity,70.0,70.0,True
1806,alkalinity,75.0,75.0,True
1807,alkalinity,125.0,125.0,True
1808,alkalinity,125.0,125.0,True
1809,alkalinity,85.0,85.0,True
1810,alkalinity,85.0,85.0,True
1822,alkalinity,35.0,35.0,True
1823,alkalinity,25.0,25.0,True
1824,alkalinity,45.0,45.0,True
1825,alkalinity,35.0,35.0,True
1826,alkalinity,25.0,25.0,True
1827,alkalinity,100.0,100.0,True
1828,alkalinity,85.0,85.0,True
1833,alkalinity,110.0,110.0,True
1835,alkalinity,100.0,100.0,True
1836,alkalinity,105.0,105.0,True
1837,alkalinity,120.0,120.0,True
1838,alkalinity,90.0,90.0,True
1839,alkalinity,125.0,125.0,True
1840,alkalinity,105.0,105.0,True
1841,alkalinity,60.0,60.0,True
1842,alkalinity,85.0,85.0,True
1843,alkalinity,115.0,115.0,True
1844,alkalinity,70.0,70.0,True
1845,alkalinity,85.0,85.0,True
1846,alkalinity,125.0,125.0,True
1847,alkalinity,120.0,120.0,True
1848,alkalinity,105.0,105.0,True
1849,alkalinity,100.0,100.0,True
1850,alkalinity,115.0,115.0,True
1852,alkalinity,115.0,115.0,True
1853,alkalinity,95.0,95.0,True
1854,alkalinity,125.0,125.0,True
1855,alkalinity,110.0,110.0,True
1856,alkalinity,25.0,25.0,True
1857,alkalinity,105.0,105.0,True
1858,alkalinity,65.0,65.0,True
1859,alkalinity,110.0,110.0,True
1860,alkalinity,85.0,85.0,True
1861,alkalinity,115.0,115.0,True
1862,alkalinity,100.0,100.0,True
1863,alkalinity,110.0,110.0,True
1864,alkalinity,90.0,90.0,True
1865,alkalinity,110.0,110.0,True
